Date,Open,Low,High,Close,Adj Close,Volume
2009-01-15,50.00,50.00,50.00,50.00,50.00,"5,000"
2008-12-28,50.00,50.00,50.00,50.00,50.00,"1,000"
2008-12-27,50.00,50.00,50.00,50.00,50.00,"1,000"
2008-12-26,50.00,50.00,50.00,50.00,50.00,"1,000"
2008-12-25,50.00,50.00,50.00,50.00,50.00,"1,000"
2008-12-24,50.00,50.00,50.00,50.00,50.00,"1,000"
2008-12-21,50.00,50.50,50.50,50.50,50.50,100
2008-12-20,50.00,50.50,50.50,50.50,50.50,100
2008-12-19,50.00,50.50,50.50,50.50,50.50,100
2008-12-09,49.50,49.00,49.00,49.00,49.00,200
2008-12-08,49.00,49.00,49.75,49.50,49.50,"4,100"
2008-12-07,49.00,49.00,49.50,49.00,49.00,700
2008-12-06,49.00,49.00,49.50,49.00,49.00,700
2008-12-05,49.00,49.00,49.50,49.00,49.00,700
2008-12-01,49.50,49.00,50.00,49.00,49.00,"3,800"
2008-11-30,49.50,49.50,49.50,49.50,49.50,"2,000"
2008-11-29,49.50,49.50,49.50,49.50,49.50,"2,000"
2008-11-28,49.50,49.50,49.50,49.50,49.50,"2,000"
2008-11-27,49.00,49.50,50.00,49.50,49.50,"1,800"
2008-11-24,50.00,49.00,50.00,49.25,49.25,700
2008-11-20,49.00,50.00,50.00,50.00,50.00,"1,500"
2008-11-18,50.00,50.00,50.00,50.00,50.00,200
2008-11-17,52.00,50.00,52.00,50.00,50.00,"3,400"
2008-11-16,50.50,52.00,52.00,52.00,52.00,300
2008-11-15,50.50,52.00,52.00,52.00,52.00,300
2008-11-14,50.50,52.00,52.00,52.00,52.00,300
2008-11-13,51.00,50.50,50.50,50.50,50.50,600
2008-11-06,50.00,50.00,52.00,50.00,50.00,"78,800"
2008-11-05,50.00,50.00,52.00,50.00,50.00,"78,800"
2008-11-04,49.50,50.00,50.00,50.00,50.00,"2,600"
2008-11-03,49.25,49.50,49.50,49.50,49.50,"1,000"
2008-10-30,48.00,47.00,49.00,47.50,47.50,600
2008-10-16,49.00,49.00,49.00,49.00,49.00,"12,000"
2008-10-13,49.00,49.00,49.50,49.00,49.00,"9,100"
2008-10-06,49.00,50.00,50.00,50.00,50.00,200
2008-10-05,48.00,49.00,49.00,49.00,49.00,"2,000"
2008-10-04,48.00,49.00,49.00,49.00,49.00,"2,000"
2008-10-03,48.00,49.00,49.00,49.00,49.00,"2,000"
2008-10-02,48.00,48.00,48.50,48.00,48.00,"1,900"
2008-09-28,50.00,48.00,50.00,48.75,48.75,"1,600"
2008-09-27,50.00,48.00,50.00,48.75,48.75,"1,600"
2008-09-26,50.00,48.00,50.00,48.75,48.75,"1,600"
2008-09-22,49.00,50.00,52.00,50.00,50.00,"2,300"
2008-09-15,52.00,50.00,52.50,50.00,50.00,"2,700"
2008-09-11,51.50,51.50,53.00,52.00,52.00,"4,100"
2008-09-10,51.50,51.50,51.50,51.50,51.50,100
2008-08-21,53.00,53.00,56.50,54.50,54.50,"4,700"
2008-08-18,52.00,51.50,53.00,51.50,51.50,"3,300"
2008-08-11,51.50,51.00,52.00,51.50,51.50,"2,900"
2008-07-31,53.50,53.50,54.00,53.50,53.50,"1,500"
2009-01-15,50.00,50.00,50.00,50.00,50.00,"5,000"
